R,GS,1 3_,2 3_,3 3_,4 3_,1_2,1_3,2_3,3_4
9.217590663,-2.022553874,-1.962262238,21867.92496,21864.24693,32062.27359,0,0,1.56E-36,0
9.223259692,-2.015106412,-1.955036783,21867.92402,21864.25954,32062.30601,0,0,1.34E-36,0
9.22892872,-2.007690925,-1.947842349,21867.92309,21864.27209,32062.3383,0,0,1.15E-36,0
9.234597749,-2.000307254,-1.940678783,21867.92216,21864.28458,32062.37045,0,0,9.84E-37,0
9.240266778,-1.992955245,-1.933545935,21867.92123,21864.29703,32062.40246,0,0,8.44E-37,0
9.245935807,-1.985634743,-1.926443654,21867.92031,21864.30942,32062.43434,0,0,7.23E-37,0
9.251604835,-1.978345592,-1.91937179,21867.91939,21864.32175,32062.46607,0,0,6.20E-37,0
9.257273864,-1.97108764,-1.912330195,21867.91847,21864.33404,32062.49768,0,0,5.31E-37,0
9.262942893,-1.963860734,-1.905318721,21867.91756,21864.34627,32062.52914,0,0,4.55E-37,0
9.268611922,-1.956664722,-1.89833722,21867.91665,21864.35845,32062.56048,0,0,3.90E-37,0
9.27428095,-1.949499454,-1.891385546,21867.91575,21864.37057,32062.59167,0,0,3.34E-37,0
9.279949979,-1.942364779,-1.884463554,21867.91485,21864.38265,32062.62274,0,0,2.86E-37,0
9.285619008,-1.935260549,-1.877571098,21867.91396,21864.39467,32062.65367,0,0,2.45E-37,0
9.291288037,-1.928186615,-1.870708036,21867.91306,21864.40664,32062.68447,0,0,2.10E-37,0
9.296957065,-1.92114283,-1.863874223,21867.91218,21864.41857,32062.71514,0,0,1.80E-37,0
9.302626094,-1.914129046,-1.857069517,21867.91129,21864.43044,32062.74568,0,0,1.54E-37,0
9.308295123,-1.907145117,-1.850293778,21867.91041,21864.44226,32062.77609,0,0,1.32E-37,0
9.313964152,-1.9001909,-1.843546863,21867.90954,21864.45403,32062.80637,0,0,1.13E-37,0
9.31963318,-1.893266248,-1.836828633,21867.90866,21864.46574,32062.83652,0,0,9.65E-38,0
9.325302209,-1.88637102,-1.830138948,21867.90779,21864.47741,32062.86654,0,0,8.25E-38,0
9.330971238,-1.879505071,-1.823477671,21867.90693,21864.48903,32062.89644,0,0,7.06E-38,0
9.336640267,-1.872668259,-1.816844663,21867.90607,21864.50061,32062.92621,0,0,6.04E-38,0
9.342309296,-1.865860445,-1.810239787,21867.90521,21864.51213,32062.95585,0,0,5.17E-38,0
9.347978324,-1.859081487,-1.803662907,21867.90435,21864.5236,32062.98536,0,0,4.42E-38,0
9.353647353,-1.852331245,-1.797113887,21867.9035,21864.53503,32063.01475,0,0,3.78E-38,0
9.359316382,-1.84560958,-1.790592594,21867.90265,21864.5464,32063.04402,0,0,3.23E-38,0
9.364985411,-1.838916355,-1.784098891,21867.90181,21864.55773,32063.07316,0,0,2.76E-38,0
9.370654439,-1.832251432,-1.777632647,21867.90097,21864.56901,32063.10218,0,0,2.36E-38,0
9.376323468,-1.825614674,-1.771193728,21867.90013,21864.58024,32063.13108,0,0,2.02E-38,0
9.381992497,-1.819005945,-1.764782004,21867.8993,21864.59143,32063.15986,0,0,1.72E-38,0
9.387661526,-1.81242511,-1.758397341,21867.89847,21864.60256,32063.18851,0,0,1.47E-38,0
9.393330554,-1.805872035,-1.752039611,21867.89765,21864.61365,32063.21704,0,0,1.26E-38,0
